Name,System,Year,Platform,Genre,Publisher,Global_Sales,Critic_Score
Star Wars: Starfighter,PLAYSTATION,2001,PS2,Simulation,Activision,1.76,84
Star Wars: Battlefront,XBOX,2004,XB,Shooter,Activision,1.75,80
Madden NFL 17,PLAYSTATION,2016,PS4,Sports,Electronic Arts,1.75,82
Just Cause 2,PLAYSTATION,2010,PS3,Action,Square Enix,1.75,83
FIFA Soccer 08,PLAYSTATION,2007,PS3,Sports,Electronic Arts,1.75,81
Crackdown,XBOX,2007,X360,Shooter,Microsoft Game Studios,1.75,83
Dance Dance Revolution X,PLAYSTATION,2008,PS2,Simulation,Konami Digital Entertainment,1.75,55
Xenosaga Episode I: Der Wille zur Macht,PLAYSTATION,2002,PS2,Role-Playing,Namco Bandai Games,1.74,83
Kinect Star Wars,XBOX,2012,X360,Action,Microsoft Game Studios,1.74,55
Dragon's Dogma,PLAYSTATION,2012,PS3,Role-Playing,Capcom,1.74,78
The Order: 1886,PLAYSTATION,2015,PS4,Shooter,Sony Computer Entertainment,1.74,63
SSX Tricky,PLAYSTATION,2001,PS2,Sports,Electronic Arts,1.73,92
Knack,PLAYSTATION,2013,PS4,Platform,Sony Computer Entertainment Europe,1.73,54
Hitman: Absolution,XBOX,2012,X360,Action,Square Enix,1.73,79
The Crew,PLAYSTATION,2014,PS4,Racing,Ubisoft,1.72,61
NBA 2K15,XBOX,2014,XOne,Sports,Take-Two Interactive,1.72,82
Madden NFL 2005,XBOX,2004,XB,Sports,Electronic Arts,1.72,91
Star Ocean: Till The End of Time,PLAYSTATION,2003,PS2,Role-Playing,Ubisoft,1.72,80
Dishonored,XBOX,2012,X360,Action,Bethesda Softworks,1.71,88
Ace Combat 5: The Unsung War,PLAYSTATION,2004,PS2,Simulation,Sony Computer Entertainment Europe,1.71,84
Need for Speed Underground,XBOX,2003,XB,Racing,Electronic Arts,1.71,83
Portal 2,PLAYSTATION,2011,PS3,Shooter,Valve,1.7,95
NCAA Football 07,PLAYSTATION,2006,PS2,Sports,Electronic Arts,1.7,87
No Man's Sky,PLAYSTATION,2016,PS4,Action,Hello Games,1.7,71
SOCOM 3: U.S. Navy SEALs,PLAYSTATION,2005,PS2,Shooter,Sony Computer Entertainment,1.69,82
BioShock Infinite,PLAYSTATION,2013,PS3,Shooter,Take-Two Interactive,1.69,94
Need For Speed: Undercover,XBOX,2008,X360,Racing,Electronic Arts,1.68,64
Saints Row 2,PLAYSTATION,2008,PS3,Action,THQ,1.68,82
Star Wars Battlefront: Renegade Squadron,PLAYSTATION,2007,PSP,Shooter,LucasArts,1.67,73
SSX 3,PLAYSTATION,2003,PS2,Sports,Electronic Arts,1.67,93
Madden NFL 2001,PLAYSTATION,2000,PS,Sports,Electronic Arts,1.67,90
Star Wars: Battlefront II,XBOX,2005,XB,Shooter,Activision,1.67,83
Tony Hawk's Pro Skater 3,PLAYSTATION,2001,PS,Sports,Activision,1.67,87
Dragon Age: Origins,PLAYSTATION,2009,PS3,Role-Playing,Electronic Arts,1.67,87
Spy Hunter,PLAYSTATION,2001,PS2,Racing,Midway Games,1.67,84
NCAA Football 2004,PLAYSTATION,2003,PS2,Sports,Electronic Arts,1.67,94
Fight Night Round 3,PLAYSTATION,2006,PS3,Fighting,Electronic Arts,1.67,83
SpongeBob SquarePants: Battle for Bikini Bottom,PLAYSTATION,2003,PS2,Platform,THQ,1.67,71
Until Dawn,PLAYSTATION,2015,PS4,Adventure,Sony Computer Entertainment Europe,1.66,79
SSX,PLAYSTATION,2000,PS2,Sports,Electronic Arts,1.66,93
NBA Ballers,PLAYSTATION,2004,PS2,Sports,Midway Games,1.66,83
Saints Row IV,XBOX,2013,X360,Action,Deep Silver,1.66,81
NBA Live 2003,PLAYSTATION,2002,PS2,Sports,Electronic Arts,1.66,83
LEGO Batman 2: DC Super Heroes,XBOX,2012,X360,Action,Warner Bros. Interactive Entertainment,1.66,79
Dragon Ball Z: Budokai Tenkaichi,PLAYSTATION,2005,PS2,Fighting,Atari,1.66,72
Dark Souls III,PLAYSTATION,2016,PS4,Role-Playing,Namco Bandai Games,1.65,89
Need for Speed Carbon,XBOX,2006,X360,Racing,Electronic Arts,1.65,77
Heavenly Sword,PLAYSTATION,2007,PS3,Action,Sony Computer Entertainment,1.65,79
Army of Two,XBOX,2008,X360,Shooter,Electronic Arts,1.64,72
Tiger Woods PGA Tour 2003,PLAYSTATION,2002,PS2,Sports,Electronic Arts,1.64,88
Prince of Persia: Warrior Within,PLAYSTATION,2004,PS2,Action,Ubisoft,1.64,83
Far Cry 4,XBOX,2014,XOne,Shooter,Ubisoft,1.63,82
ESPN NFL 2K5,XBOX,2004,XB,Sports,Sega,1.63,92
Beyond: Two Souls,PLAYSTATION,2013,PS3,Adventure,Sony Computer Entertainment,1.63,70
Tiger Woods PGA Tour 2004,PLAYSTATION,2003,PS2,Sports,Electronic Arts,1.63,89
Ape Escape,PLAYSTATION,1999,PS,Platform,Sony Computer Entertainment,1.63,90
NCAA Football 2005,PLAYSTATION,2004,PS2,Sports,Electronic Arts,1.62,88
Max Payne 3,XBOX,2012,X360,Shooter,Take-Two Interactive,1.62,86
Viva Pinata,XBOX,2006,X360,Simulation,Microsoft Game Studios,1.62,84
Kinectimals,XBOX,2010,X360,Simulation,Microsoft Game Studios,1.62,74
LEGO Marvel Super Heroes,PLAYSTATION,2013,PS4,Action,Warner Bros. Interactive Entertainment,1.62,83
NFL Street 2,PLAYSTATION,2004,PS2,Sports,Electronic Arts,1.61,77
Rage,XBOX,2011,X360,Shooter,Bethesda Softworks,1.6,81
Just Cause 2,XBOX,2010,X360,Action,Square Enix,1.6,81
Silent Hill,PLAYSTATION,1999,PS,Action,Konami Digital Entertainment,1.6,86
ESPN NBA 2K5,PLAYSTATION,2004,PS2,Sports,Global Star,1.59,83
Far Cry 2,XBOX,2008,X360,Action,Ubisoft,1.59,85
Pro Evolution Soccer 2008,PLAYSTATION,2007,PS3,Sports,Konami Digital Entertainment,1.59,74
SoulCalibur IV,XBOX,2008,X360,Fighting,Ubisoft,1.58,85
Sonic Generations,PLAYSTATION,2011,PS3,Platform,Sega,1.58,76
Devil May Cry 4,PLAYSTATION,2008,PS3,Action,Capcom,1.57,84
Dead Rising 3,XBOX,2013,XOne,Action,Microsoft Game Studios,1.57,78
